"","Adenorandia-type kalbreyeri","Alchornea","Allophylus","Anacardiaceae undiff.","Anopyxis klaineana","Anthocleista","Antiaris-type toxicaria","Antidesma-type","Aphania-type senegalensis","Aporrhiza","Araliaceae undiff.","Balanites","Bersama","Bertiera","Blighia","Bridelia-type","Brucea","Butyrospermum","Campylospermum","Carapa-type procera","Celastraceae undiff.","Celtis","Cf. Leonardoxa","Clausena anisata","Cnestis-type","Cocculus","Commiphora","Crateva adansonii","Croton-type","Crudia-type","Cussonia","Diospyros","Dombeya-type","Drypetes-type","Embelia-type","Entandrophragma-type","Ericaceae undiff.","Erythrococca-type3","Erythrococca-type4","Eugenia/Syzygium","Faurea-type","Ficus","Flacourtia","Flueggea","Gnidia-type","Harungana","Holoptelea grandis","Hymenocardia","Ilex mitis","Irvingia-type","Ixora-type","Keetia-type cornelia","Khaya-type","Klaineanthus gaboniae","Lannea-type","Lecaniodiscus/Aphania senegalensis","Lindackeria-type","Lonchocarpus","Lophira","Macaranga-type","Maerua-type","Mallotus-type","Margaritaria discoidea","Maytenus","Meliacea undiff.","Mitragyna-type inermis","Morelia senegalensis","Morus","Myrianthus-type","Myrica","Myrsine africana","Nuxia-type","Olea capensis","Ormocarpum","Pappea capensis","Parkinsonia aculeata-type","Pausinystalia-type","Pavetta","Pentaclethra macrophylla","Phyllanthus-type","Podocarpus","Polyscias","Prunus","Pseudospondias-type","Psorospermum","Psydrax subcordata","Pycnanthus","Rapanea","Rhamnaceae undiff.","Rhamnus-type","Rhus-type","Salix","Santiria-type","Sapotaceae undiff.","Schefflera","Schrebera","Sorindeia-type","Sterculia-type","Strombosia","Tapura fischeri-type","Teclea-type","Tetrorchidium","Thecacoris-type","Trilepisium-type madagascariensis","Uapaca","Zanthoxylum-type","Acacia","Acridocarpus","Baphia-type","Cassine","Cissampelos-type","Clematis-type","Entada-type","Landolphia-type3","Maesa","Olacaceae undiff.","Polygala-type","Rubus","Sapindaceae undiff.","Tarenna-type","Tetracera","Tapinanthus-type","Anthospermum","Apocynaceae undiff.","Acalypha","Acanthaceae undiff.","Apiaceae undiff.","Artemisia","Asteraceae undiff.","Asteraceae undiff.2","Astripomoea","Basilicum polystachyon/Hoslundia opposita","Boscia-type","Canthium","Capparidaceae undiff.","Cassia-type","Cissus","Clutia-type","Cochlospermum","Combretaceae/Melastomataceae undiff.","Euphorbiaceae undiff.","Euphorbia-type","Fabaceae undiff.","Hypericum","Indigofera","Lamiaceae undiff.","Lippia-type","Lobelia","Monocotyledoneae undiff.","Rosaceae undiff.","Rubiaceae undiff.","Solanaceae undiff.","Triumfetta-type","UNKNOWN","Walhembergia","Amaranthaceae/Chenopodiaceae undiff.","Achyranthes-type","Aerva-type","Alchemilla","Anagallis","Begonia","Brassicaceae undiff.","Celosia argentea-type","Centaurea-type","Crassula","Cyathogyne","Cyathula","Cyperaceae Ascolepis","Dipsacaceae undiff.","Dolichos-type","Eriosema-type","Galium/Rubia","Gentianaceae undiff.","Hermannia-type","Hypoestes-type","Hyptis","Impatiens","Isoglossa","Justicia-type","Laportea-type","Leonotis-type","Leucas-type","Lotus","Mellera-type","Mitracarpus villosus","Phaulopsis","Plantago","Poaceae undiff.","Primulaceae undiff.","Pterygota","Rumex","Sauvagesia erecta","Sebaea","Spermacoce-type","Streptocarpus","Swertia abyssinica-type","Thalictrum","Urticaceae undiff.","Ricinus communis","Stephania-type abyssinica","Cyperaceae undiff.","Hydrocotyle","Laurembergia tetrandra","Ludwigia-type","Mesanthenum","Nymphaea","Onagraceae undiff.","Ottelia-type","Polygonum senegalense-type","Potamogeton","Typha","Xyris","Phoenix","Pteris","Spores monolètes Lisse","Spores monolètes NL","Spores trilètes L","Spores trilètes NL"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,493,0,14,0,0,2,0,0,0,0,1,0,0,0,25,1,0,0
"2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,4,0,0,0,0,1,234,0,1,0,0,7,0,0,0,0,0,0,0,0,65,9,8,3
"3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,3,0,0,0,0,7,0,0,3,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,1,100,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,3,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1184,0,9,0,0,6,0,0,0,1,1,0,0,0,29,6,7,5
"4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,11,0,0,0,0,0,0,0,0,20,1,5,0
"5",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1,13,0,0,0,1,10,0,0,0,1,0,1,0,0,0,0,0,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,1,0,77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,14,3,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,33,0,0,0,1,0,0,0,0,17,3,6,1
"6",0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,7,0,1,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,2,0,0,0,0,76,0,10,0,0,34,0,0,1,0,0,0,0,0,33,12,12,1
"7",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,120,0,0,0,0,0,0,0,0,0,0,0,0,227,0,45,0,2,4,0,0,0,0,0,0,0,0,72,3,4,2
"8",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,1,0,0,0,0,0,141,0,35,0,0,1,0,0,0,0,0,8,0,0,44,9,5,3
"9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,9,0,0,0,4,0,0,0,1,8,0,2,0,0,8,0,0,1,4,0,1,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,0,1,0,0,0,0,1,0,0,104,0,0,1,0,0,0,0,0,0,1,0,0,134,0,73,0,0,31,0,3,0,0,2,9,0,0,40,5,7,4
"10",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,1,1,0,0,0,1,0,65,0,15,0,0,35,0,0,0,0,0,6,0,0,19,2,4,2
"11",0,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,5,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,95,0,13,0,0,55,0,0,0,0,0,2,0,0,16,5,4,0
"12",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,129,0,8,0,0,106,0,0,0,0,0,0,0,1,29,0,7,0
"13",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,1,0,0,0,0,0,0,0,0,0,113,0,23,0,0,81,0,0,0,0,0,0,0,0,6,0,14,1
"14",0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,18,0,0,0,0,1,0,103,0,21,0,0,91,0,0,0,1,0,10,0,0,52,7,12,1
"15",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,31,0,5,0,0,37,0,0,0,0,0,1,0,0,9,5,8,1
"16",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,195,0,0,0,0,0,0,1,0,0,0,0,0,53,0,24,0,0,83,0,0,0,0,0,5,0,0,12,7,20,5
"17",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,3,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,1,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,99,0,0,0,0,0,0,0,0,7,2,7,0
"18",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,56,0,1,0,0,105,0,0,0,0,0,0,0,0,15,2,10,0
"19",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,5,0,0,28,0,0,0,0,100,0,0,0,0,18,1,0,0,7,8,7,1
"20",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,27,0,0,0,0,0,0,0,0,16,4,1,2
"21",0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,1,0,3,4,0,0,0,0,7,0,0,2,5,0,2,1,0,2,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,6,26,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,3,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,4,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,55,0,8,2,14,1,0,0,0,12,12,6,0
"22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,40,0,0,0,13,0,0,0,0,20,3,8,1
"23",0,3,1,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,4,0,2,2,0,2,0,0,10,0,0,0,5,0,6,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,6,0,0,3,0,1,0,1,0,0,2,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,4,0,0,0,0,0,58,0,0,0,0,96,0,6,0,20,1,0,6,0,30,18,13,14
"24",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,7,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,2,0,39,0,0,0,0,19,0,2,0,21,0,0,0,0,17,4,8,7
"25",0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,4,3,0,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,5,11,0,0,0,0,4,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,79,0,0,1,0,0,0,0,0,0,0,0,0,77,0,0,0,0,69,0,0,0,0,0,0,0,3,46,5,8,0
"26",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,2,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,6,0,0,0,0,0,0,0,58,0,0,0,0,0,0,3,0,0,0,0,1,47,0,0,0,0,33,0,2,0,6,7,0,0,0,24,18,8,11
"27",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,81,0,0,0,0,0,0,1,0,0,0,0,2,67,0,0,0,0,27,0,0,0,7,0,0,0,0,28,4,1,1
